Donuts,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg)
Old Fashioned Donut,1 Donut,310,19,9,0,20,320,30,1,10,9,4,0,64,24,2
Peanut Donut,1 Donut,470,27,10,0,20,320,50,2,26,25,8,0,162,33,2
Plain Stick,1 Stick,420,30,15,0,30,380,36,1,13,12,4,0,62,27,2
Powdered Donut,1 Donut,330,20,9,0,20,320,34,1,14,13,4,0,64,24,2
Powdered Stick,1 Stick,440,30,15,0,30,380,42,1,18,17,4,0,62,27,2
Sour Cream Donut,1 Donut,360,17,7,0,10,360,49,1,25,25,4,0,16,15,1
Strawberry Frosted Donut,1 Donut,260,11,4.5,0,0,280,35,1,14,14,4,0,59,12,2
Strawberry Frosted with Sprinkles Donut,1 Donut,270,12,5,0,0,280,37,1,16,15,4,0,59,12,2
Sugared Donut,1 Donut,210,11,4.5,0,0,270,24,1,5,4,4,0,55,12,2
Sugared Stick,1 Stick,430,30,15,0,30,380,39,1,16,15,4,0,62,27,2
Taillight Donut,1 Donut,320,15,6,0,0,310,41,1,21,20,4,0,78,13,2
Toasted Coconut Donut,1 Donut,430,22,11,0,20,360,52,3,29,28,5,1,97,27,2
Vanilla Crème Donut,1 Donut,300,15,6,0,0,290,37,1,18,17,4,1,61,12,2
Vanilla Frosted Donut,1 Donut,260,11,4.5,0,0,280,34,1,14,13,4,0,58,12,2
Vanilla Frosted Sprinkles Donut,1 Donut,270,11,4.5,0,0,280,37,1,16,15,4,0,60,12,2
Vanilla Headlight Donut,1 Donut,310,15,6,0,0,310,41,1,21,20,4,0,78,13,2
Vanilla Long John,1 Long John,320,15,6,0,0,400,42,1,17,16,5,2,81,16,2
Éclair,1 Éclair,360,16,6,0,0,470,50,1,23,22,6,2,108,49,3
